title,price,url,brand,badges,sale_price,image
Clever Coffee Dripper,34.95,https://prima-coffee.com/equipment/abid/clever-abid-pp,Abid,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11348/images/95595/abid-clever-coffee-dripper-v2-wbg__45078.1597179840.1280.1280__90182.1698421930.1280.1280.jpg?c=1
Espro BLOOM Pour Over Coffee Dripper,34.95,https://prima-coffee.com/equipment/espro/7018-bs-gr-espro-sp,Espro,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10037/images/91512/espro-bloom-wbg-4__26499.1609943621.1280.1280.jpg?c=1
Curtis WC-3417 Plastic Brew Cone Assembly with Splash Pocket,34.99,https://prima-coffee.com/equipment/curtis/wc-3417,Curtis,['Free Shipping'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8495/images/90727/wc-3417__69726.1597185031.1280.1280.jpg?c=1
Curtis 12 1/2 x 4 in. Filters for GemX Coffee Brewers - 500 Count,34.99,https://prima-coffee.com/equipment/curtis/gem-6,Curtis,"['Free Shipping', 'Subscription']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8120/images/89020/gem-6__06704.1597181115.1280.1280.jpg?c=1
Waterproof Timer,35.99,https://prima-coffee.com/equipment/espresso-supply/02627-es-su-sp,CDN,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7573/images/92253/waterproof-timer-wbg-1__21891.1629473562.1280.1280.jpg?c=1
64 oz AirScape Coffee Storage Container,36.0,https://prima-coffee.com/equipment/planetary-design/airscape-bl-l,Planetary Design,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7844/images/93101/Airscape_Stainless_CoffeeCanister_Matte_Black_AS1707_02_web__09410.1646240640.1280.1280.jpg?c=1
Kalita Wave Drippers,36.0,https://prima-coffee.com/equipment/kalita/wave-dripper,Kalita,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8491/images/90710/kalita-wave-dripper-155-glass__81343.1634771544.1280.1280.jpg?c=1
Able Fourth Generation KONE Stainless Steel Filter,39.5,https://prima-coffee.com/equipment/able/kone,Able,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8179/images/91113/able-kone-wbg-1__43785.1597181785__69715.1602089386.1280.1280.png?c=1
AeroPress Original Coffee Maker,39.95,https://prima-coffee.com/equipment/aeropress/aeropress,AeroPress,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7835/images/94048/aeropress-wbg-1__16672.1650898311.1280.1280.jpg?c=1
Rhino Coffee Gear Bean Scoop 2.2lbs,39.95,https://prima-coffee.com/equipment/rhino-coffee-gear/rhbnscp-rh-co-sp,Rhino Coffee Gear,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10108/images/91858/rhino-bean-scoop-wbg-6__40818.1619556822.1280.1280.jpg?c=1
Curtis 15 x 5 1/2 in. Filters for GemX Coffee Brewers - 500 Count,39.99,https://prima-coffee.com/equipment/curtis/gem-6-101,Curtis,"['Free Shipping', 'Subscription']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9241/images/89021/gem-6-101__32561.1627417219.1280.1280.jpg?c=1
Fetco F002 filters 13 in. X 5 in. 500 Count,39.99,https://prima-coffee.com/equipment/fetco/f002,Fetco,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8083/images/88843/fetco-f002-filters__83812.1597180692.1280.1280.jpg?c=1
"Fetco F008 Filters 10 5/8"" x 4 1/2"" 1000 Count",39.99,https://prima-coffee.com/equipment/fetco/f00800000-fetco-sp,Fetco,['Subscription'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10010/images/91369/fetco-f002-filters__83812.1597180692__83565.1606486751.1280.1280.jpg?c=1
Origami Dripper - Medium,40.0,https://prima-coffee.com/equipment/origami-japan/od-m-sl-po-pp,Origami Japan,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11143/images/94459/Origami-Dripper-WBG-4__01322.1666882270.1280.1280.jpg?c=1
Woodneck Pour Over Coffee Drip Pot,40.5,https://prima-coffee.com/equipment/hario/dpw-3,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8051/images/92681/hario-dpws-1__42743.1635345044.1280.1280.jpg?c=1
Chemex 3-cup Coffee Maker,41.94,https://prima-coffee.com/equipment/chemex/3-cup-chemex,Chemex,['On Sale'],44.15,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7683/images/87469/chemex-3-cups-classic__34398.1597176686.1280.1280.jpg?c=1
Hario V60 Glass Dripper with Olivewood,42.5,https://prima-coffee.com/equipment/hario/vdg-01-ov,Hario,['Recommended'],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8465/images/90605/hario-v60-dripper-olivewood-02__10147.1601910743.1280.1280.jpg?c=1
Hario Switch V60 Immersion Dripper,44.5,https://prima-coffee.com/equipment/hario/ssd-200-b-hario-pp,Hario,[],0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10095/images/91827/hario-switch-wbg-1__23989.1617909521.1280.1280.jpg?c=1
Fetco F001 filters 15 in. X 5 1/2 in. 500 Count,44.99,https://prima-coffee.com/equipment/fetco/f001,Fetco,"['Free Shipping', 'Subscription']",0.0,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8082/images/88842/f001__48475.1597180686.1280.1280.jpg?c=1
