title,price,url,brand,badges,sale_price,image
Clever Coffee Dripper,$34.95,https://prima-coffee.com/equipment/abid/clever-abid-pp,Abid,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11348/images/95595/abid-clever-coffee-dripper-v2-wbg__45078.1597179840.1280.1280__90182.1698421930.1280.1280.jpg?c=1
"Revolution Knock Box Deluxe Metal Set 7.25"" x 6.75"" x 5""",$123.99,https://prima-coffee.com/equipment/revolution/rv-kdxms-revol-sp,Revolution,['Free shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10114/images/94109/_05361__89524.1644535155__94564.1652121732.1280.1280.png?c=1
Fetco A147 - Luxus S4S-10-1 Single Serving Station for L4S-10,$129.99,https://prima-coffee.com/equipment/fetco/a147,Fetco,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7817/images/87827/fe-a147__27534.1597178137.1280.1280.jpg?c=1
Origami Resin Dripper Holder,$15.00,https://prima-coffee.com/equipment/origami-japan/od-h-w-sl-po-sp,Origami Japan,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11144/images/95697/Origami-Resin-Dripper-Holder__37913.1702403466.1280.1280.jpg?c=1
Fetco F003 filters 9 3/4 in. X 4 1/2 in. 1000 Count,$28.73,https://prima-coffee.com/equipment/fetco/f003,Fetco,"['On Sale', 'Free Shipping', 'Subscription']",$39.99,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8084/images/88844/f003__63168.1597180699.1280.1280.jpg?c=1
Sibarist FAST Filters for Kalita 185,$16.00,https://prima-coffee.com/equipment/sibarist/fast-flat-sibar-pp,Sibarist,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10612/images/94225/sibarist-kalita-wbg-1__26848.1657552755.1280.1280.jpg?c=1
Able DISK-Fine Filter for AeroPress,$15.00,https://prima-coffee.com/equipment/able/disk-fine,Able,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8042/images/88695/able-disk-fine-filter__02365.1660057509.1280.1280.jpg?c=1
Fetco F001 filters 15 in. X 5 1/2 in. 500 Count,$44.99,https://prima-coffee.com/equipment/fetco/f001,Fetco,"['Free Shipping', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8082/images/88842/f001__48475.1597180686.1280.1280.jpg?c=1
VST Precision 58mm Espresso Baskets,$35.00,https://prima-coffee.com/equipment/vst/pfb-std-18,VST,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8319/images/90002/vst-esp-baskets-18g-ridged-side-pfb-std-18__73814.1683907991.1280.1280.jpg?c=1
Third Wave Water 1 Gallon Sticks - 12 Dose Pack,$16.00,https://prima-coffee.com/equipment/third-wave-water/third-wave-water,Third Wave Water,"['Recommended', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8420/images/96514/1G_Light_Front__60845.1733503506.1280.1280.jpg?c=1
Lotus Coffee Water Potassium Bicarbonate,$12.50,https://prima-coffee.com/equipment/lotus-coffee-products/potassium-lo-co-sp,Lotus Coffee Products,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11180/images/94775/Lotus-Coffee-Water-Kit-Potassium-WBG-1__53629.1675994929.1280.1280.jpg?c=1
Hario Heatproof Shot Glass - 80 mL,$10.50,https://prima-coffee.com/equipment/hario/sgs-80,Hario,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8364/images/90209/hario-sgs-80-shot-glass-3__56855.1597183741.1280.1280.jpg?c=1
Urnex Cafiza | Espresso Machine Cleaning Powder (20oz),$10.99,https://prima-coffee.com/equipment/urnex/12-esp12-20-urnex,Urnex,"['Recommended', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8548/images/90977/cafiza-wbg__47712.1600697729.1280.1280.jpg?c=1
Acaia Pearl Digital Scale with Bluetooth (2021),$150.00,https://prima-coffee.com/equipment/acaia/pearl-scale,Acaia,"['Recommended', 'Free Shipping']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8708/images/90976/acaia-pearl-white-wbg-WeB__54992.1646318376.1280.1280.jpg?c=1
Hario Mizudashi Cold Brew Coffee Pot,$14.03,https://prima-coffee.com/equipment/hario/mcpn-14b,Hario,"['On Sale', 'Recommended']",$16.50,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8256/images/89644/hario-coffee-pot-mini-black-wbg__16645.1597182512.1280.1280.jpg?c=1
Weber Workshops 58mm Puck Screen,$20.00,https://prima-coffee.com/equipment/weber-workshops/puck-screen-58-weber-sp,Weber Workshops,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11219/images/94939/Weber_Workshop_Puck_Screen_WBG_1__70187.1682547496.1280.1280.jpg?c=1
Third Wave Water TDS Meter,$15.00,https://prima-coffee.com/equipment/third-wave-water/tds-th-wa-sp,Third Wave Water,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10073/images/91712/thirdwavewater-tds-meter__93436.1614627736.1280.1280.jpg?c=1
Stainless Yama Coffee Siphon Filter,$16.00,https://prima-coffee.com/equipment/yama/yamftlfl,Yama,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8537/images/90857/yama-stainless-siphon-filter__86052.1597185383.1280.1280.jpg?c=1
Fellow Atmos Vacuum Canister,$29.95,https://prima-coffee.com/equipment/fellow-products/1168-fe-pr-pp,Fellow Products,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/9976/images/91258/Screen_Shot_2020-10-23_at_3.48.13_PM__40566.1603901276.1280.1280.png?c=1
Lotus Coffee Water Calcium Chloride,$12.50,https://prima-coffee.com/equipment/lotus-coffee-products/calcium-lo-co-sp,Lotus Coffee Products,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11177/images/94773/Lotus-Coffee-Water-Kit-Calcium-WBG-1__93041.1675994787.1280.1280.jpg?c=1
Hario Drip Scale,$60.00,https://prima-coffee.com/equipment/hario/vst-2000-hario-pp,Hario,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8483/images/90677/hario-drip-scale__76652.1597184903.1280.1280.jpg?c=1
Barista Hustle Comb Distribution Tool,$30.00,https://prima-coffee.com/equipment/barista-hustle/bhcmb1-ba-hu-sp,Barista Hustle,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11111/images/96052/Barista-Hustle-The-Comb-WBG-2__57563.1710520381.1280.1280.jpg?c=1
Fetco L4S-10 - Luxus Thermal Coffee Dispenser - 1 Gallon,$474.99,https://prima-coffee.com/equipment/fetco/d451,Fetco,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8029/images/88638/fetco-l4s-10-thermal-dispenser__71231.1597180136.1280.1280.jpg?c=1
Revolution Shot Pitcher,$13.99,https://prima-coffee.com/equipment/rattleware/27610,Revolution,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7679/images/96054/Revolution_Shot_Pitcher-1__47077.1710521202.1280.1280.jpg?c=1
Lotus Coffee Water Mixing Bottle (450ml),$10.00,https://prima-coffee.com/equipment/lotus-coffee-products/mixing-bottle-450ml-lo-co-sp,Lotus Coffee Products,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11176/images/94777/Lotus-Coffee-Water-Kit-WBG-1__76487.1675996169.1280.1280.jpg?c=1
Biocaf Milk Frother Cleaning Liquid,$16.99,https://prima-coffee.com/equipment/urnex/19-fclmk12-1,Urnex,['Subscription'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7645/images/92033/urnex-biocaf-new-1__91338.1622723433.1280.1280.jpg?c=1
Revolution Knock Chute 6 x 5.5 x 4,$59.99,https://prima-coffee.com/equipment/rattleware/25102,Revolution,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/7661/images/91585/Revolution_Knock_Chute_6_x_5.5_x_4__18139.1612211025.1280.1280.jpg?c=1
Cupping Starter Kit,$58.99,https://prima-coffee.com/equipment/prima-coffee/pcc-14-prima-bp,Prima Coffee,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8297/images/94524/Cupping-Starter-Kit-WBG__96139.1668698098.1280.1280.jpg?c=1
Curtis ThermoPro One Gallon Stainless Vacuum Server,$329.99,https://prima-coffee.com/equipment/curtis/txsg0101s600,Curtis,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8434/images/90478/curtis-thermopro-one-gallon-server__62205.1597184513.1280.1280.jpg?c=1
Biocaf Grinder Cleaner - 430g,$31.99,https://prima-coffee.com/equipment/urnex/19-g01-fc430-12-urnex-sp,Urnex,"['Recommended', 'Subscription']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8804/images/87429/urnex-coffee-grinder-cleaning-tablets-WBG__43330.1597176501.1280.1280.jpg?c=1
"PuqPress M5 For Mahlkonig E80 Supreme, E80S GbW & E80W GbS","$1,390.00",https://prima-coffee.com/equipment/puqpress/6-003-0200-1-puqpr-pp,Puqpress,"['On Sale', 'Drop-Shipped']","$1,490.00",https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10064/images/91706/puqpress-m5-wbg-4__80799.1614350860.1280.1280.jpg?c=1
Dreamfarm Grindenstein Knock Box,$29.49,https://prima-coffee.com/equipment/dreamfarm/grindenstein,Dreamfarm,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8132/images/89080/dreamfarm-grindenstein-kockbox-wbg_1__88219.1597181249.1280.1280.jpg?c=1
Jennings CJ4000 Scale,$29.00,https://prima-coffee.com/equipment/jennings/sccj4000bk,Jennings,['Recommended'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8356/images/90186/jenning-cj4000-front__89165.1597183677.1280.1280.jpg?c=1
Pullman 54mm Bottomless Portafilter For Breville Espresso Machines,$79.99,https://prima-coffee.com/equipment/pullman/54mm-bottomless-pullm-sp,Pullman,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/11408/images/96062/Pullman-54mm-Naked-Basket-WBG-1__97727.1711024492.1280.1280.jpg?c=1
Acaia Pearl Model S Brewing Scale,$220.00,https://prima-coffee.com/equipment/acaia/pearl-model-s-acaia-pp,Acaia,"['Free Shipping', 'Drop-Shipped']",,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8842/images/90971/acaia-pearl-s-black-display-wbg__06149.1602084313.1280.1280.jpg?c=1
Specialty Turkish Coffee Pro 1 Cezve,$82.00,https://prima-coffee.com/equipment/specialty-turkish-coffee/stc-pro,Specialty Turkish Coffee,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8384/images/94374/STC_Pro1_1600px_2__59258.1661960721.1280.1280.jpg?c=1
"Revolution Knock Box Basic Wood Set. 7.5"" x 6.88"" x 4.5""",$78.99,https://prima-coffee.com/equipment/revolution/rv-kbws1-revol-sp,Revolution,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10089/images/91779/revolution-basic-knock-box-1__92621.1616516424.1280.1280.jpg?c=1
Timemore Black Mirror Nano Coffee and Espresso Scale,$89.00,https://prima-coffee.com/equipment/timemore/70tes010aa001-timem-sp,Timemore,['Free Shipping'],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/10561/images/92876/timemore-black-mirror-nano-scale-wbg-5__31540.1641313545.1280.1280.jpg?c=1
"CoffeeSock Cloth Filter for Chemex 6, 8, and 10 Cup",$13.99,https://prima-coffee.com/equipment/coffeesock/cs-x6,CoffeeSock,[],,https://cdn11.bigcommerce.com/s-6h7ychjk4/products/8018/images/95053/X6HALFMOON__49140.1683739176.1280.1280.jpg?c=1
